"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что валидный JSON без переменных и тестов всё равно считается валидным","595","analyzePostmanJson_noTestsNoVars()","","Thu Nov 13 15:16:28 UTC 2025","passed","Thu Nov 13 15:16:29 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","analyzePostmanJson_noTestsNoVars"
"Проверка, что два одинаковых набора строк считаются эквивалентными","1","testCompareLineSets_Identical()","","Thu Nov 13 15:16:31 UTC 2025","passed","Thu Nov 13 15:16:31 UTC 2025","","org.example.ValidatorCLITest","org.example.ValidatorCLITest","testCompareLineSets_Identical"
"Проверка, что идентичные .docx-файлы распознаются как валидные","1692","compareDocxFiles_identical()","","Thu Nov 13 15:16:29 UTC 2025","passed","Thu Nov 13 15:16:31 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","compareDocxFiles_identical"
"Проверка, что идентичные CSV-файлы распознаются как валидные","3","compareCsvFiles_identical()","","Thu Nov 13 15:16:31 UTC 2025","passed","Thu Nov 13 15:16:31 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","compareCsvFiles_identical"
"Проверка, что различия в строках документов приводят к невалидности","53","compareDocxFiles_different()","","Thu Nov 13 15:16:31 UTC 2025","passed","Thu Nov 13 15:16:31 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","compareDocxFiles_different"
"Проверка, что отсутствие строки в пользовательском наборе приводит к несоответствию","9","testCompareLineSets_MissingLine()","","Thu Nov 13 15:16:31 UTC 2025","passed","Thu Nov 13 15:16:31 UTC 2025","","org.example.ValidatorCLITest","org.example.ValidatorCLITest","testCompareLineSets_MissingLine"
"Проверка, что синтаксически неверный JSON распознаётся как невалидный","8","analyzePostmanJson_invalidJson()","","Thu Nov 13 15:16:31 UTC 2025","passed","Thu Nov 13 15:16:31 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","analyzePostmanJson_invalidJson"
"Проверка, что наличие лишних или отсутствующих строк в CSV приводит к невалидности","4","compareCsvFiles_missingAndExtra()","","Thu Nov 13 15:16:31 UTC 2025","passed","Thu Nov 13 15:16:31 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","compareCsvFiles_missingAndExtra"
"Проверка, что коллекция с корректным JSON, переменными и тестами считается валидной","2","analyzePostmanJson_validWithTestsAndVars()","","Thu Nov 13 15:16:31 UTC 2025","passed","Thu Nov 13 15:16:31 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","analyzePostmanJson_validWithTestsAndVars"
